      Freq    Re(Vin),             Im(Vin),            Re(Vout),            Im(Vout),             Re(Iin),             Im(Iin),            Re(Iout),            Im(Iout),             Re(Pin),             Im(Pin),            Re(Zout),            Im(Zout),            Re(Pout),            Im(Pout),             Re(Zin),             Im(Zin),              Re(Av),              Im(Av),              Re(Ai),              Im(Ai),          
        Hz           V                    V                    V                    V                    A                    A                    A                    A                    W                    W                 Ohms                 Ohms                    W                    W                 Ohms                 Ohms                    L                    L                    L                    L          
 2.886e+05  2.528e+00,  7.157e-01,  -8.879e-02, -2.394e+00,   7.822e-03, -2.265e-03,  -2.810e-04, -7.575e-03,   1.815e-02,  1.132e-02,   2.632e+02, -1.642e+02,   1.815e-02, -1.084e-19,   2.738e+02,  1.708e+02,  -2.806e-01, -8.672e-01,   2.256e-01, -9.031e-01,  
 2.953e+05  2.605e+00,  1.506e-02,  -2.472e+00, -3.609e-01,   7.579e-03, -4.764e-05,  -7.821e-03, -1.142e-03,   1.974e-02,  2.382e-04,   2.905e+02, -3.626e+00,   1.974e-02,  0.000e+00,   3.437e+02,  4.147e+00,  -9.496e-01, -1.331e-01,  -1.031e+00, -1.572e-01,  
 3.020e+05  2.290e+00,  6.853e-01,  -7.068e-01,  2.288e+00,   8.576e-03, -2.169e-03,  -2.237e-03,  7.242e-03,   1.815e-02,  1.084e-02,   3.181e+02, -1.897e+02,   1.815e-02,  0.000e+00,   2.320e+02,  1.386e+02,  -8.825e-03,  1.002e+00,  -4.459e-01,  7.317e-01,  
 3.087e+05  2.825e+00,  1.788e-01,   2.164e+00,  1.196e+00,   6.882e-03, -5.658e-04,   6.847e-03,  3.786e-03,   1.934e-02,  2.829e-03,   2.412e+02, -3.557e+01,   1.934e-02,  3.469e-18,   4.056e+02,  5.932e+01,   7.895e-01,  3.735e-01,   9.432e-01,  6.276e-01,  
 3.154e+05  2.129e+00,  5.139e-01,   1.421e+00, -1.957e+00,   9.086e-03, -1.626e-03,   4.496e-03, -6.193e-03,   1.851e-02,  8.132e-03,   3.863e+02, -1.692e+02,   1.851e-02,  1.735e-18,   2.172e+02,  9.544e+01,   4.209e-01, -1.021e+00,   5.976e-01, -5.746e-01,  
 3.222e+05  2.898e+00,  4.463e-01,  -1.612e+00, -1.815e+00,   6.651e-03, -1.412e-03,  -5.101e-03, -5.743e-03,   1.865e-02,  7.062e-03,   2.168e+02, -8.243e+01,   1.865e-02, -1.735e-18,   4.033e+02,  1.528e+02,  -6.375e-01, -5.280e-01,  -5.585e-01, -9.821e-01,  
 3.289e+05  2.115e+00,  2.751e-01,  -2.001e+00,  1.422e+00,   9.130e-03, -8.705e-04,  -6.331e-03,  4.501e-03,   1.907e-02,  4.352e-03,   4.192e+02, -9.509e+01,   1.907e-02, -3.469e-18,   2.267e+02,  5.174e+01,  -8.443e-01,  7.824e-01,  -7.338e-01,  4.230e-01,  
 3.356e+05  2.807e+00,  6.995e-01,   9.520e-01,  2.182e+00,   6.940e-03, -2.214e-03,   3.013e-03,  6.904e-03,   1.793e-02,  1.107e-02,   2.144e+02, -1.326e+02,   1.793e-02, -1.735e-18,   3.379e+02,  2.086e+02,   5.017e-01,  6.522e-01,   1.060e-01,  1.029e+00,  
 3.423e+05  2.263e+00,  7.262e-02,   2.380e+00, -7.246e-01,   8.661e-03, -2.298e-04,   7.531e-03, -2.293e-03,   1.958e-02,  1.149e-03,   3.815e+02, -2.208e+01,   1.958e-02, -8.674e-19,   2.609e+02,  1.531e+01,   1.040e+00, -3.535e-01,   8.760e-01, -2.415e-01,  
 3.490e+05  2.605e+00,  8.541e-01,  -2.811e-01, -2.330e+00,   7.580e-03, -2.703e-03,  -8.895e-04, -7.374e-03,   1.743e-02,  1.351e-02,   2.322e+02, -1.801e+02,   1.743e-02,  8.674e-19,   2.692e+02,  2.087e+02,  -3.623e-01, -7.758e-01,   2.037e-01, -9.003e-01,  
 3.557e+05  2.518e+00,  3.404e-04,  -2.499e+00, -5.169e-02,   7.854e-03, -1.077e-06,  -7.909e-03, -1.636e-04,   1.978e-02,  5.386e-06,   3.114e+02, -1.034e-01,   1.978e-02,  0.000e+00,   3.207e+02,  8.732e-02,  -9.925e-01, -2.039e-02,  -1.007e+00, -2.096e-02,  
 3.624e+05  2.367e+00,  8.798e-01,  -3.538e-01,  2.309e+00,   8.332e-03, -2.784e-03,  -1.119e-03,  7.308e-03,   1.727e-02,  1.392e-02,   2.712e+02, -2.184e+02,   1.727e-02, -4.337e-19,   2.238e+02,  1.804e+02,   1.873e-01,  9.060e-01,  -3.845e-01,  7.486e-01,  
 3.691e+05  2.776e+00,  9.201e-02,   2.354e+00,  7.889e-01,   7.037e-03, -2.912e-04,   7.450e-03,  2.497e-03,   1.951e-02,  1.456e-03,   2.525e+02, -1.907e+01,   1.951e-02, -8.674e-19,   3.933e+02,  2.935e+01,   8.565e-01,  2.558e-01,   1.042e+00,  3.979e-01,  
 3.758e+05  2.161e+00,  7.862e-01,   9.351e-01, -2.155e+00,   8.985e-03, -2.488e-03,   2.959e-03, -6.818e-03,   1.746e-02,  1.244e-02,   3.307e+02, -2.353e+02,   1.746e-02,  8.674e-19,   2.008e+02,  1.431e+02,   6.178e-02, -1.020e+00,   5.010e-01, -6.201e-01,  
 3.826e+05  2.945e+00,  3.063e-01,  -2.008e+00, -1.388e+00,   6.503e-03, -9.694e-04,  -6.354e-03, -4.392e-03,   1.885e-02,  4.847e-03,   2.149e+02, -5.555e+01,   1.885e-02,  0.000e+00,   4.361e+02,  1.121e+02,  -7.230e-01, -3.961e-01,  -8.574e-01, -8.032e-01,  
 3.893e+05  2.034e+00,  6.077e-01,  -1.452e+00,  1.885e+00,   9.387e-03, -1.923e-03,  -4.595e-03,  5.966e-03,   1.792e-02,  9.615e-03,   3.982e+02, -2.130e+02,   1.792e-02, -1.735e-18,   1.952e+02,  1.047e+02,  -4.012e-01,  1.047e+00,  -5.948e-01,  5.138e-01,  
 3.960e+05  2.987e+00,  5.641e-01,   1.557e+00,  1.809e+00,   6.369e-03, -1.785e-03,   4.926e-03,  5.724e-03,   1.802e-02,  8.926e-03,   1.949e+02, -9.686e+01,   1.802e-02, -1.735e-18,   4.118e+02,  2.040e+02,   6.135e-01,  4.896e-01,   4.835e-01,  1.034e+00,  
 4.027e+05  2.012e+00,  3.928e-01,   1.887e+00, -1.515e+00,   9.454e-03, -1.243e-03,   5.973e-03, -4.795e-03,   1.854e-02,  6.215e-03,   4.410e+02, -1.472e+02,   1.854e-02,  1.735e-18,   2.039e+02,  6.835e+01,   7.619e-01, -9.016e-01,   6.866e-01, -4.169e-01,  
 4.094e+05  2.919e+00,  7.970e-01,  -1.083e+00, -2.066e+00,   6.584e-03, -2.522e-03,  -3.426e-03, -6.537e-03,   1.721e-02,  1.261e-02,   1.880e+02, -1.380e+02,   1.721e-02,  8.674e-19,   3.462e+02,  2.537e+02,  -5.248e-01, -5.643e-01,  -1.221e-01, -1.040e+00,  
 4.161e+05  2.097e+00,  1.943e-01,  -2.217e+00,  1.064e+00,   9.186e-03, -6.147e-04,  -7.017e-03,  3.369e-03,   1.915e-02,  3.074e-03,   4.313e+02, -6.875e+01,   1.915e-02,  8.674e-19,   2.259e+02,  3.626e+01,  -1.002e+00,  6.004e-01,  -7.849e-01,  3.142e-01,  
 4.228e+05  2.782e+00,  9.688e-01,   6.349e-01,  2.198e+00,   7.020e-03, -3.066e-03,   2.009e-03,  6.954e-03,   1.656e-02,  1.533e-02,   1.909e+02, -1.769e+02,   1.656e-02,  8.674e-19,   2.822e+02,  2.612e+02,   4.489e-01,  6.336e-01,  -1.230e-01,  9.369e-01,  
 4.295e+05  2.263e+00,  5.621e-02,   2.422e+00, -5.691e-01,   8.663e-03, -1.779e-04,   7.665e-03, -1.801e-03,   1.959e-02,  8.893e-04,   3.820e+02, -1.709e+01,   1.959e-02, -8.674e-19,   2.609e+02,  1.185e+01,   1.064e+00, -2.779e-01,   8.887e-01, -1.896e-01,  
 4.362e+05  2.614e+00,  1.072e+00,  -2.348e-01, -2.244e+00,   7.551e-03, -3.391e-03,  -7.432e-04, -7.100e-03,   1.610e-02,  1.695e-02,   2.019e+02, -2.127e+02,   1.610e-02,  1.084e-18,   2.350e+02,  2.475e+02,  -3.781e-01, -7.033e-01,   2.695e-01, -8.193e-01,  
 4.430e+05  2.467e+00,  1.061e-03,  -2.499e+00,  7.559e-02,   8.017e-03, -3.356e-06,  -7.907e-03,  2.392e-04,   1.977e-02,  1.678e-05,   3.245e+02, -2.471e-01,   1.977e-02,  1.084e-19,   3.077e+02,  2.611e-01,  -1.013e+00,  3.108e-02,  -9.863e-01,  2.943e-02,  
 4.497e+05  2.446e+00,  1.114e+00,  -1.119e-01,  2.235e+00,   8.082e-03, -3.526e-03,  -3.540e-04,  7.071e-03,   1.584e-02,  1.763e-02,   2.195e+02, -2.442e+02,   1.584e-02,  7.589e-19,   2.037e+02,  2.267e+02,   3.067e-01,  7.738e-01,  -3.575e-01,  7.190e-01,  
 4.564e+05  2.667e+00,  2.487e-02,   2.466e+00,  3.714e-01,   7.383e-03, -7.870e-05,   7.805e-03,  1.175e-03,   1.969e-02,  3.935e-04,   2.764e+02, -5.642e+00,   1.969e-02, -8.674e-19,   3.611e+02,  7.218e+00,   9.261e-01,  1.306e-01,   1.055e+00,  1.704e-01,  
 4.631e+05  2.296e+00,  1.112e+00,   4.052e-01, -2.192e+00,   8.556e-03, -3.521e-03,   1.282e-03, -6.938e-03,   1.573e-02,  1.760e-02,   2.419e+02, -2.706e+02,   1.573e-02,  1.301e-18,   1.838e+02,  2.056e+02,  -2.317e-01, -8.425e-01,   4.135e-01, -6.407e-01,  
 4.698e+05  2.834e+00,  1.045e-01,  -2.361e+00, -7.425e-01,   6.854e-03, -3.306e-04,  -7.473e-03, -2.350e-03,   1.939e-02,  1.653e-03,   2.408e+02, -2.073e+01,   1.939e-02,  8.674e-19,   4.118e+02,  3.510e+01,  -8.417e-01, -2.310e-01,  -1.071e+00, -3.945e-01,  
 4.765e+05  2.173e+00,  1.085e+00,  -6.461e-01,  2.133e+00,   8.945e-03, -3.432e-03,  -2.045e-03,  6.750e-03,   1.572e-02,  1.716e-02,   2.668e+02, -2.910e+02,   1.572e-02, -8.674e-19,   1.712e+02,  1.869e+02,   1.541e-01,  9.045e-01,  -4.516e-01,  5.813e-01,  
 4.832e+05  2.957e+00,  2.104e-01,   2.223e+00,  1.027e+00,   6.464e-03, -6.658e-04,   7.035e-03,  3.250e-03,   1.898e-02,  3.329e-03,   2.157e+02, -3.808e+01,   1.898e-02, -2.602e-18,   4.493e+02,  7.883e+01,   7.725e-01,  2.923e-01,   1.026e+00,  6.084e-01,  
 4.899e+05  2.079e+00,  1.047e+00,   8.344e-01, -2.069e+00,   9.242e-03, -3.314e-03,   2.640e-03, -6.547e-03,   1.575e-02,  1.657e-02,   2.909e+02, -3.057e+02,   1.575e-02,  8.674e-19,   1.634e+02,  1.719e+02,  -7.961e-02, -9.548e-01,   4.782e-01, -5.369e-01,  
